"55, 153, 153",Systolic BP,Diastolic BP,Heart Rate,Emotion,Count,Light,Night,Emotion_Verb,Joy_Count,Anger_Count,Sadness_Count,Unknown_Count
12:00:00 am,107,63,73,2,107,107,0,Joy,129,226,167,383
12:30:00 am,108,66,71,2,108,108,0,Joy,397,343,497,385
1:00:00 am,116,74,62,2,116,116,0,Joy,237,365,5,36
1:30:00 am,121,78,71,3,121,121,0,Anger,291,460,418,107
2:00:00 am,108,73,71,3,108,108,0,Anger,68,220,111,418
2:30:00 am,116,75,66,2,116,116,0,Joy,320,323,487,384
3:00:00 am,142,80,60,2,142,142,0,Joy,434,452,433,381
3:30:00 am,115,73,62,2,115,115,0,Joy,333,429,235,387
4:00:00 am,126,66,56,4,126,126,0,Sadness,247,18,464,484
4:30:00 am,122,76,57,4,122,122,0,Sadness,82,172,287,451
5:00:00 am,113,70,56,2,113,113,0,Joy,0,369,218,482
5:30:00 am,102,66,58,2,102,102,0,Joy,183,492,264,460
6:00:00 am,106,67,55,2,40,106,0,Joy,66,349,148,75
6:30:00 am,117,75,60,2,40,117,0,Joy,168,35,45,119
7:00:00 am,105,69,56,2,40,105,1,Joy,470,139,340,2
7:30:00 am,111,71,54,2,40,111,1,Joy,259,377,307,166
8:00:00 am,109,70,71,2,40,109,1,Joy,437,494,45,220
8:30:00 am,113,68,71,1,40,113,1,Unknown,411,349,471,338
9:00:00 am,117,69,68,1,100,117,1,Unknown,157,476,475,164
9:30:00 am,142,61,85,1,40,142,1,Unknown,457,170,15,450
10:00:00 am,105,71,93,1,40,105,1,Unknown,81,357,286,379
10:30:00 am,121,87,85,1,100,121,1,Unknown,440,92,323,470
11:00:00 am,120,85,75,1,40,120,1,Unknown,416,116,466,485
11:30:00 am,116,59,76,1,40,116,1,Unknown,27,259,120,383
12:00:00 pm,134,100,78,1,40,134,1,Unknown,118,119,471,5
12:30:00 pm,125,76,75,1,40,125,1,Unknown,458,284,303,215
1:00:00 pm,119,72,73,1,400,119,1,Unknown,412,355,319,376
1:30:00 pm,121,73,69,1,40,121,1,Unknown,426,133,213,189
2:00:00 pm,141,92,71,1,40,141,1,Unknown,372,316,202,26
2:30:00 pm,127,87,76,1,40,127,1,Unknown,74,87,200,323
3:00:00 pm,162,76,65,3,162,162,1,Anger,47,367,184,486
3:30:00 pm,159,135,75,3,159,159,1,Anger,201,56,104,195
4:00:00 pm,96,67,81,3,400,96,1,Anger,384,326,244,367
4:30:00 pm,128,77,71,3,400,128,1,Anger,233,475,174,104
5:00:00 pm,114,69,71,3,400,114,1,Anger,460,487,44,30
5:30:00 pm,117,71,69,3,400,117,1,Anger,336,346,145,47
6:00:00 pm,132,80,69,3,400,132,0,Anger,102,138,385,143
6:30:00 pm,110,71,73,3,400,110,0,Anger,120,349,177,416
7:00:00 pm,116,77,71,3,400,116,0,Anger,209,217,49,54
7:30:00 pm,116,66,63,3,400,116,0,Anger,375,148,60,52
8:00:00 pm,109,69,61,4,400,109,0,Sadness,419,473,67,306
8:30:00 pm,137,96,62,4,400,137,0,Sadness,161,454,339,208
9:00:00 pm,104,76,75,4,104,104,0,Sadness,137,441,188,489
9:30:00 pm,113,69,75,4,113,113,0,Sadness,44,141,376,400
10:00:00 pm,101,61,71,4,101,101,0,Sadness,377,310,173,496
10:30:00 pm,127,78,71,4,127,127,0,Sadness,185,473,384,311
11:00:00 pm,95,62,78,4,95,95,0,Sadness,456,443,463,441
11:30:00 pm,120,71,73,4,120,120,0,Sadness,55,299,168,227
12:00:00 am,111,71,75,4,111,111,0,Sadness,32,179,46,180
