Time,Systolic BP,Diastolic BP,Heart Rate,Mood,Tweet Count,Light,Mood Word,Night,Joy_Count,Anger_Count,Sadness_Count,Unknown_Count,Median LondonLight
12:00:00 am,107,63,73,3,82,8.846603302,Sadness,0,10,4,11,51,
12:30:00 am,108,66,71,1,52,8.846603302,Joy,0,20,13,8,57,
1:00:00 am,116,74,62,1,119,18.8,Joy,0,10,7,9,110,18.80
1:30:00 am,121,78,71,1,169,18.8,Joy,0,30,1,13,34,
2:00:00 am,108,73,71,1,58,13.27238683,Joy,0,22,11,14,108,
2:30:00 am,116,75,66,3,169,13.27238683,Sadness,0,17,1,18,37,
3:00:00 am,142,80,60,3,73,13.28392603,Sadness,0,8,7,9,76,
3:30:00 am,115,73,62,1,51,13.28392603,Joy,0,9,1,8,106,
4:00:00 am,126,66,56,1,131,11.33253695,Joy,0,27,2,10,49,
4:30:00 am,122,76,57,1,133,11.33253695,Joy,0,31,3,19,34,
5:00:00 am,113,70,56,3,92,10.62244576,Sadness,0,11,11,16,68,
5:30:00 am,102,66,58,1,180,10.62244576,Joy,0,16,13,8,67,
6:00:00 am,106,67,55,1,118,7.61866005,Joy,0,22,1,17,54,
6:30:00 am,117,75,60,1,172,7.61866005,Joy,1,16,10,10,42,
7:00:00 am,105,69,56,1,156,1.995525847,Joy,1,22,14,6,45,
7:30:00 am,111,71,54,1,77,1.995525847,Joy,1,9,4,7,37,
8:00:00 am,109,70,71,4,140,3.348215325,None,1,18,6,18,41,
8:30:00 am,113,68,71,1,135,3.348215325,Joy,1,25,5,15,107,
9:00:00 am,117,69,68,1,178,1.520055471,Joy,1,29,2,12,104,
9:30:00 am,142,61,85,1,59,1.520055471,Joy,1,29,9,11,95,
10:00:00 am,105,71,93,1,72,7.027575558,Joy,1,30,4,16,87,
10:30:00 am,121,87,85,1,156,7.027575558,Joy,1,20,6,16,81,
11:00:00 am,120,85,75,1,85,6.723092622,Joy,1,16,3,11,98,
11:30:00 am,116,59,76,1,122,6.723092622,Joy,1,23,0,7,96,
12:00:00 pm,134,100,78,1,189,4.226584867,Joy,1,20,9,14,45,
12:30:00 pm,125,76,75,1,157,4.226584867,Joy,1,15,14,11,47,
1:00:00 pm,119,72,73,1,49,3.3353125,Joy,1,7,1,7,32,
1:30:00 pm,121,73,69,1,49,3.3353125,Joy,1,7,1,7,32,
2:00:00 pm,141,92,71,1,85,4.76923913,Joy,1,18,5,5,53,
2:30:00 pm,127,87,76,1,85,4.76923913,Joy,1,18,5,5,53,
3:00:00 pm,162,76,65,1,111,3.916404494,Joy,1,22,0,7,75,
3:30:00 pm,159,135,75,1,111,3.916404494,Joy,1,22,0,7,75,
4:00:00 pm,96,67,81,1,109,4.748208333,Joy,1,22,8,8,60,
4:30:00 pm,128,77,71,1,109,4.748208333,Joy,1,22,8,8,60,
5:00:00 pm,114,69,71,1,111,5.262531418,Joy,1,29,4,7,65,
5:30:00 pm,117,71,69,1,111,5.262531418,Joy,1,29,4,7,65,
6:00:00 pm,132,80,69,1,89,3.169914656,Joy,1,17,3,6,56,
6:30:00 pm,110,71,73,1,89,3.169914656,Joy,1,17,3,6,56,
7:00:00 pm,116,77,71,1,108,3.025016045,Joy,1,22,3,7,71,
7:30:00 pm,116,66,63,1,108,3.025016045,Joy,1,22,3,7,71,
8:00:00 pm,109,69,61,1,116,17.61,Joy,0,24,3,9,71,17.61
8:30:00 pm,137,96,62,1,116,17.61,Joy,0,24,3,9,7,17.61
9:00:00 pm,104,76,75,1,161,16.53,Joy,0,32,11,8,102,16.53
9:30:00 pm,113,69,75,1,161,16.53,Joy,0,32,11,8,102,16.53
10:00:00 pm,101,61,71,1,171,16.94,Joy,0,45,12,12,90,16.94
10:30:00 pm,127,78,71,1,171,16.94,Joy,0,45,12,12,90,16.94
11:00:00 pm,95,62,78,1,203,6.065809537,Joy,0,37,15,19,121,
11:30:00 pm,120,71,73,1,203,6.065809537,Joy,0,37,15,19,121,
12:00:00 am,111,71,75,4,0,8.846603302,None,0,10,4,11,51,
