Time,Systolic BP,Diastolic BP,Heart Rate,Mood,Tweet Count,Light,Mood Word,Night,Joy_Count,Anger_Count,Sadness_Count,Unknown_Count,Median LondonLight
12:00:00 am,107,63,73,2,153,16.43312184,Joy,0,35,13,30,11,
12:30:00 am,108,66,71,2,272,6.124195105,Joy,0,10,41,49,20,
1:00:00 am,116,74,62,2,97,21.46554576,Joy,0,3,24,41,49,18.8
1:30:00 am,121,78,71,3,198,29.80002563,Anger,0,2,48,18,46,
2:00:00 am,108,73,71,3,92,0.299586427,Anger,0,22,26,36,8,
2:30:00 am,116,75,66,2,185,10.08477868,Joy,0,24,30,17,8,
3:00:00 am,142,80,60,2,279,4.678022317,Joy,0,10,15,46,48,
3:30:00 am,115,73,62,2,280,5.699255263,Joy,0,46,37,11,1,
4:00:00 am,126,66,56,4,226,23.04710633,Sadness,0,50,7,14,11,
4:30:00 am,122,76,57,4,94,28.21127393,Sadness,0,24,35,37,9,
5:00:00 am,113,70,56,2,200,7.496557951,Joy,0,17,12,42,1,
5:30:00 am,102,66,58,2,200,1.778107927,Joy,0,0,26,44,32,
6:00:00 am,106,67,55,2,124,0.169380995,Joy,0,8,30,17,9,
6:30:00 am,117,75,60,2,308,13.20616886,Joy,1,1,18,31,10,
7:00:00 am,105,69,56,2,189,12.25260954,Joy,1,40,45,33,26,
7:30:00 am,111,71,54,2,30,11.43340238,Joy,1,3,41,49,22,
8:00:00 am,109,70,71,2,56,17.59804311,Joy,1,6,1,44,38,
8:30:00 am,113,68,71,1,67,4.36803715,Unknown,1,36,12,3,30,
9:00:00 am,117,69,68,1,290,23.8470675,Unknown,1,12,6,2,6,
9:30:00 am,142,61,85,1,308,23.14595185,Unknown,1,42,14,11,4,
10:00:00 am,105,71,93,1,100,3.180535404,Unknown,1,9,42,11,18,
10:30:00 am,121,87,85,1,309,0.624650555,Unknown,1,46,22,24,45,
11:00:00 am,120,85,75,1,58,25.00313111,Unknown,1,16,3,9,6,
11:30:00 am,116,59,76,1,262,19.13929574,Unknown,1,47,5,43,34,
12:00:00 pm,134,100,78,1,388,26.81386958,Unknown,1,43,20,44,11,
12:30:00 pm,125,76,75,1,383,13.42896955,Unknown,1,20,48,1,21,
1:00:00 pm,119,72,73,1,288,1.85432075,Unknown,1,14,48,4,44,
1:30:00 pm,121,73,69,1,145,27.93948116,Unknown,1,46,47,4,1,
2:00:00 pm,141,92,71,1,275,3.237370466,Unknown,1,36,16,37,24,
2:30:00 pm,127,87,76,1,210,20.78535724,Unknown,1,6,21,44,29,
3:00:00 pm,162,76,65,3,185,19.8931588,Anger,1,8,9,20,43,
3:30:00 pm,159,135,75,3,93,12.61482875,Anger,1,44,41,47,28,
4:00:00 pm,96,67,81,3,105,3.639680767,Anger,1,50,20,49,36,
4:30:00 pm,128,77,71,3,95,20.59682696,Anger,1,43,50,45,30,
5:00:00 pm,114,69,71,3,284,7.753254496,Anger,1,3,26,4,47,
5:30:00 pm,117,71,69,3,43,26.80038639,Anger,1,12,24,12,42,
6:00:00 pm,132,80,69,3,292,25.9088914,Anger,1,35,22,47,40,
6:30:00 pm,110,71,73,3,146,26.57154078,Anger,1,31,22,3,37,
7:00:00 pm,116,77,71,3,156,20.02537329,Anger,1,11,8,45,34,
7:30:00 pm,116,66,63,3,205,11.57811141,Anger,1,26,19,26,29,
8:00:00 pm,109,69,61,4,121,0.642346557,Sadness,0,39,29,32,17,17.61
8:30:00 pm,137,96,62,4,52,21.77996288,Sadness,0,20,29,48,21,17.61
9:00:00 pm,104,76,75,4,50,25.0347242,Sadness,0,46,13,11,44,16.53
9:30:00 pm,113,69,75,4,126,19.19776786,Sadness,0,7,32,48,29,16.53
10:00:00 pm,101,61,71,4,337,26.48609072,Sadness,0,33,32,26,39,16.94
10:30:00 pm,127,78,71,4,263,7.692840571,Sadness,0,17,43,21,26,16.94
11:00:00 pm,95,62,78,4,302,18.95320826,Sadness,0,25,22,2,48,
11:30:00 pm,120,71,73,4,34,6.828401012,Sadness,0,26,0,16,18,
12:00:00 am,111,71,75,4,197,17.22079178,Sadness,0,33,26,24,45,
