,Jan,Feb,Mar,Apri,May,June,July,Augest,Sep,Octo,Nov,Dece
1,15:59,14:45,13:03,11:03,09:11,07:46,07:33,08:40,10:28,12:23,14:18,15:45
2,15:58,14:42,12:59,10:59,09:08,07:44,07:34,08:43,10:32,12:27,14:22,15:46
3,15:56,14:38,12:55,10:55,09:05,07:42,07:35,08:46,10:36,12:31,14:25,15:48
4,15:55,14:35,12:52,10:51,09:01,07:41,07:36,08:49,10:40,12:34,14:29,15:50
5,15:53,14:32,12:48,10:47,08:58,07:39,07:37,08:53,10:43,12:38,14:32,15:52
6,15:52,14:28,12:44,10:43,08:55,07:38,07:39,08:56,10:47,12:42,14:35,15:53
7,15:50,14:25,12:40,10:40,08:51,07:36,07:40,08:59,10:51,12:46,14:39,15:55
8,15:48,14:21,12:36,10:36,08:48,07:35,07:42,09:02,10:55,12:50,14:42,15:56
9,15:47,14:18,12:32,10:32,08:45,07:34,07:43,09:06,10:59,12:53,14:45,15:57
10,15:45,14:14,12:28,10:28,08:42,07:33,07:45,09:09,11:02,12:57,14:49,15:59
11,15:43,14:11,12:24,10:24,08:39,07:32,07:47,09:13,11:06,13:01,14:52,16:00
12,15:41,14:07,12:20,10:20,08:36,07:31,07:49,09:16,11:10,13:05,14:55,16:01
13,15:38,14:03,12:17,10:17,08:32,07:30,07:51,09:19,11:14,13:09,14:58,16:02
14,15:36,14:00,12:13,10:13,08:30,07:30,07:53,09:23,11:18,13:12,15:01,16:02
15,15:34,13:56,12:09,10:09,08:27,07:29,07:55,09:26,11:21,13:16,15:04,16:03
16,15:31,13:52,12:05,10:05,08:24,07:28,07:57,09:30,11:25,13:20,15:07,16:04
17,15:29,13:49,12:01,10:02,08:21,07:28,07:59,09:33,11:29,13:24,15:10,16:04
18,15:26,13:45,11:57,09:58,08:18,07:28,08:02,09:37,11:33,13:27,15:13,16:05
19,15:24,13:41,11:53,09:54,08:15,07:27,08:04,09:41,11:37,13:31,15:16,16:05
20,15:21,13:37,11:49,09:51,08:13,07:27,08:06,09:44,11:41,13:35,15:18,16:05
21,15:18,13:34,11:45,09:47,08:10,07:27,08:09,09:48,11:45,13:39,15:21,16:05
22,15:16,13:30,11:42,09:43,08:08,07:27,08:11,09:51,11:48,13:42,15:24,16:05
23,15:13,13:26,11:38,09:40,08:05,07:28,08:14,09:55,11:52,13:46,15:26,16:05
24,15:10,13:22,11:34,09:36,08:03,07:28,08:17,09:59,11:56,13:50,15:29,16:05
25,15:07,13:18,11:30,09:33,08:00,07:28,08:19,10:02,12:00,13:53,15:31,16:04
26,15:04,13:15,11:26,09:29,07:58,07:29,08:22,10:06,12:04,13:57,15:34,16:04
27,15:01,13:11,11:22,09:25,07:56,07:29,08:25,10:10,12:08,14:01,15:36,16:03
28,14:58,13:07,11:18,09:22,07:54,07:30,08:28,10:13,12:11,14:04,15:38,16:03
29,14:55,,11:14,09:18,07:52,07:31,08:31,10:17,12:15,14:08,15:40,16:02
30,14:51,,11:10,09:15,07:50,07:32,08:34,10:21,12:19,14:11,15:43,16:01
31,14:48,,11:07,,07:48,,08:37,10:25,,14:15,,16:00
