london,11/04/2018,,,,,,,
0,186,,,,,,,
1,148,,,,,,,
2,102,,,,,,,
3,68,,,,,,,
4,67,,,,,,,
5,63,,,,,,,
6,70,,,,,,,
7,88,,,,,,,
8,80,,,,,,,
9,122,,,,,,,
10,83,,,,,,,
11,86,,,,,,,
12,63,,,,,,,
13,71,,,,,,,
14,72,,,,,,,
15,97,,,,,,,
16,82,,,,,,,
17,85,,,,,,,
18,69,,,,,,,
19,89,,,,,,,
20,96,,,,,,,
21,150,,,,,,,
22,159,,,,,,,
23,184,,,,,,,
Delhi,02/05/2018,03/05/2018,04/05/2018,05/05/2018,06/05/2018,07/05/2018,08/05/2018,Average
0,3,4,13,5,3,3,0,4
1,8,10,7,6,0,14,4,7
2,16,12,18,11,2,11,3,10
3,6,54,62,8,1,21,6,23
4,10,45,55,10,14,16,16,24
5,16,33,30,11,22,11,15,20
6,7,37,21,14,57,35,7,25
7,4,56,46,19,15,19,15,25
8,9,56,26,12,10,9,10,19
9,12,22,14,7,15,18,10,14
10,36,36,13,4,8,6,27,19
11,14,45,14,1,13,9,16,16
12,28,32,12,5,8,3,11,14
13,9,16,13,6,6,15,5,10
14,33,4,10,6,7,12,12,12
15,28,8,10,5,9,18,7,12
16,20,12,19,8,7,11,60,20
17,18,14,82,15,12,10,51,29
18,11,10,39,9,23,17,29,20
19,14,25,30,3,21,14,16,18
20,11,21,17,6,6,13,13,12
21,6,4,6,4,16,1,12,7
22,11,4,5,3,4,6,3,5
23,4,8,2,0,6,2,3,4
NewYork,11/04/2018,,,,,,,
0,100,,,,,,,
1,82,,,,,,,
2,70,,,,,,,
3,63,,,,,,,
4,58,,,,,,,
5,61,,,,,,,
6,172,,,,,,,
7,127,,,,,,,
8,91,,,,,,,
9,98,,,,,,,
10,119,,,,,,,
11,125,,,,,,,
12,139,,,,,,,
13,159,,,,,,,
14,140,,,,,,,
15,155,,,,,,,
16,141,,,,,,,
17,114,,,,,,,
18,117,,,,,,,
19,119,,,,,,,
20,119,,,,,,,
21,100,,,,,,,
22,89,,,,,,,
23,98,,,,,,,
Stockholm,17/05/2018,18/05/2018,19/05/2018,20/05/2018,21/05/2018,22/05/2018,23/05/2018,Average
0,1,0,1,2,1,2,6,2
1,1,3,3,1,2,4,6,3
2,2,2,0,0,2,0,1,1
3,0,5,1,0,3,1,2,2
4,2,3,3,2,4,3,3,3
5,1,5,3,1,3,1,6,3
6,2,3,2,2,1,5,6,3
7,3,2,2,1,1,0,5,2
8,2,5,6,1,2,1,3,3
9,3,2,3,2,4,2,8,3
10,1,3,2,0,4,1,5,2
11,1,3,0,1,2,1,3,2
12,0,4,1,1,4,1,9,3
13,2,2,0,2,1,4,2,2
14,1,2,2,3,2,1,0,2
15,1,2,0,2,2,0,0,1
16,0,1,2,6,3,4,2,3
17,2,4,0,1,4,3,2,2
18,3,2,0,0,2,3,2,2
19,5,0,1,4,2,4,3,3
20,5,0,1,3,3,6,4,3
21,6,5,4,9,2,12,6,6
22,6,3,3,9,3,6,4,5
23,3,1,1,2,3,3,1,2
Tokyo,17/05/2018,18/05/2018,19/05/2018,20/05/2018,21/05/2018,22/05/2018,23/05/2018,Average
0,9,13,5,8,2,7,11,8
1,7,8,9,9,0,7,5,6
2,3,2,5,8,14,6,5,6
3,6,6,3,10,6,4,11,7
4,5,5,2,15,3,4,5,6
5,3,4,4,7,8,9,8,6
6,5,3,6,4,6,7,10,6
7,20,8,6,6,3,3,9,8
8,16,8,5,13,3,7,5,8
9,5,11,1,5,4,6,8,6
10,5,7,5,5,8,9,6,6
11,4,6,4,9,12,3,7,6
12,13,11,6,11,11,5,14,10
13,12,12,22,11,13,12,9,13
14,8,11,15,15,13,17,11,13
15,5,7,21,13,10,8,9,10
16,8,7,19,10,12,6,12,11
17,6,8,17,6,14,5,11,10
18,7,2,28,7,18,9,3,11
19,6,6,17,4,24,2,7,9
20,7,6,16,9,17,10,6,10
21,8,9,14,4,20,9,4,10
22,8,18,10,4,6,5,4,8
23,7,6,13,4,17,10,8,9
Sydney,05/04/2018,06/04/2018,07/04/2018,08/04/2018,09/04/2018,10/04/2018,11/04/2018,Average
0,9,9,7,8,5,13,8,8
1,10,10,15,7,13,10,6,10
2,9,3,7,7,12,14,11,9
3,4,3,14,5,3,7,7,6
4,7,17,9,6,12,16,12,11
5,8,5,6,8,11,8,11,8
6,9,9,4,8,11,13,11,9
7,6,11,6,9,6,3,11,7
8,9,3,11,10,8,11,11,9
9,6,6,9,9,9,7,4,7
10,9,8,11,9,8,16,9,10
11,7,16,8,15,6,17,4,10
12,17,10,9,26,10,12,12,14
13,19,13,15,18,18,7,22,16
14,18,18,17,12,30,13,12,17
15,19,13,12,19,11,23,12,16
16,11,8,8,9,5,4,8,8
17,6,8,6,9,6,10,6,7
18,2,7,12,5,3,7,10,7
19,7,10,4,6,7,6,7,7
20,10,6,3,11,4,10,15,8
21,15,7,4,13,9,15,10,10
22,12,12,9,7,16,7,16,11
23,8,10,13,8,18,10,7,11
