,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,location,language,profileImageURL
1,Can i sleep now �� #baraikuasatiga,FALSE,3,NA,2018-04-11 23:54:58,FALSE,NA,984218278267465728,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",AiimanHanafii,0,FALSE,FALSE,NA,NA,Tokyo,en,http://pbs.twimg.com/profile_images/981967933499822085/Czchb7pf_normal.jpg
2,"MP3 Albums
New Releases in Pop
#10: Sleep Better
Tom Middleton 
https://t.co/WJ3paLicaz #Pop https://t.co/jfu2HoauW8",FALSE,0,NA,2018-04-11 23:21:05,FALSE,NA,984209752065376256,NA,"<a href=""http://ytw.jp"" rel=""nofollow"">MP3AmznUK</a>",MP3AzUK,0,FALSE,FALSE,NA,NA,Tokyo,ja,http://pbs.twimg.com/profile_images/591979178272038913/_HP-1Dh3_normal.png
3,RT @jus10pr: Mariah thought she suffered from a severe sleep disorder. She would overwork herself out of fear of letting people down and gu…,FALSE,0,NA,2018-04-11 22:57:11,FALSE,NA,984203737412534272,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",redbIooded,24,TRUE,FALSE,NA,NA,secret garden,en,http://pbs.twimg.com/profile_images/976575533499731968/PBQsbrAQ_normal.jpg
4,"RT @HAL909: RT @ramblingsloa 
Put your thoughts to sleep,
Do not let them cast a shadow over the moon of your heart.
Let go of thinking.

R…",FALSE,0,NA,2018-04-11 22:48:32,FALSE,NA,984201562921709568,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",hoytr7016,95,TRUE,FALSE,NA,NA,대한민국 창원시,ko,http://pbs.twimg.com/profile_images/900310698172891137/itC35hHe_normal.jpg
5,RT @jus10pr: Mariah thought she suffered from a severe sleep disorder. She would overwork herself out of fear of letting people down and gu…,FALSE,0,NA,2018-04-11 22:36:04,FALSE,NA,984198423472566272,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",moonlightxmani,24,TRUE,FALSE,NA,NA,,en,http://pbs.twimg.com/profile_images/923006822276984832/mtFe-1pC_normal.jpg
6,RT @jus10pr: Mariah thought she suffered from a severe sleep disorder. She would overwork herself out of fear of letting people down and gu…,FALSE,0,NA,2018-04-11 22:18:33,FALSE,NA,984194014017662977,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DancinWitMani,24,TRUE,FALSE,NA,NA,~CHICAGO~ ,en,http://pbs.twimg.com/profile_images/975517473079549953/W8WDAgRe_normal.jpg
7,RT @jus10pr: Mariah thought she suffered from a severe sleep disorder. She would overwork herself out of fear of letting people down and gu…,FALSE,0,NA,2018-04-11 22:08:24,FALSE,NA,984191463419342848,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",luv_Normally,24,TRUE,FALSE,NA,NA,Somewhere,en,http://pbs.twimg.com/profile_images/976943578000769024/p23Iu8YF_normal.jpg
8,"April 12, 2018
_0nji woke up.
Time 7:00, Sleep duration 7h 5m 48s
#SleepMeister https://t.co/FnvFKp4ZWA",FALSE,0,NA,2018-04-11 22:00:52,FALSE,NA,984189563877785600,NA,"<a href=""http://www.amuate.com/sleepmeisteren.html"" rel=""nofollow"">Sleep Meister</a>",_0nji,0,FALSE,FALSE,NA,NA,Tokyo,ja,http://pbs.twimg.com/profile_images/661094188453236737/p2pY4kWt_normal.png
9,RT @jus10pr: Mariah thought she suffered from a severe sleep disorder. She would overwork herself out of fear of letting people down and gu…,FALSE,0,NA,2018-04-11 21:48:45,FALSE,NA,984186518611865601,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",_SUSHIFREAK,24,TRUE,FALSE,NA,NA,somewhere sleeping,en,http://pbs.twimg.com/profile_images/983490907537395712/kGjMeugE_normal.jpg
10,"April 12, 2018
ooxoo woke up.
Time 6:47, Sleep duration 4h 31m 14s
#SleepMeister https://t.co/uYsCdwf5Os",FALSE,1,NA,2018-04-11 21:47:38,FALSE,NA,984186234481209344,NA,"<a href=""http://www.amuate.com/sleepmeisteren.html"" rel=""nofollow"">Sleep Meister</a>",ooxoo,0,FALSE,FALSE,NA,NA,Tokyo,ja,http://pbs.twimg.com/profile_images/835843876761939968/fzcvCzQb_normal.jpg
